areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
N92000002,Northern Ireland,Nation,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,343.1632470901469,"Rate per 100,000 population","Rate per 100,000 population",,,,
N92000002,Northern Ireland,Nation,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,416.1781131096106,"Rate per 100,000 population","Rate per 100,000 population",,,,
N92000002,Northern Ireland,Nation,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,501.125041875826,"Rate per 100,000 population","Rate per 100,000 population",,,,
N92000002,Northern Ireland,Nation,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,408.64948445475267,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,329.8844105805446,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,320.4189563989044,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,455.2664294594247,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,386.3313902801757,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,341.58433456287884,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,367.69255245806005,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,536.6276143771726,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,516.1094897739255,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000003,Belfast,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,259.57516316660394,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000003,Belfast,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,342.23134839151265,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000003,Belfast,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,275.77428935086976,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000003,Belfast,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,305.9949144507176,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000004,Causeway Coast and Glens,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,322.1453136563493,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000004,Causeway Coast and Glens,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,349.54951805860196,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000004,Causeway Coast and Glens,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,524.0373661426293,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000004,Causeway Coast and Glens,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,355.8969041363129,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000005,Derry City and Strabane,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,534.0981731319181,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000005,Derry City and Strabane,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,835.2136867275116,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000005,Derry City and Strabane,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,750.1030130258921,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000005,Derry City and Strabane,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,466.0906436930532,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000006,Fermanagh and Omagh,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,517.4040849974509,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000006,Fermanagh and Omagh,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,635.9127953033608,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000006,Fermanagh and Omagh,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,360.3937110753016,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000006,Fermanagh and Omagh,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,722.4740650335629,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000007,Lisburn and Castlereagh,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,277.66691857651125,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000007,Lisburn and Castlereagh,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,285.5067322149578,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000007,Lisburn and Castlereagh,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,332.4546233020468,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000007,Lisburn and Castlereagh,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,291.0867237687366,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000008,Mid and East Antrim,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,335.18958606746355,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000008,Mid and East Antrim,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,267.6118741692512,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000008,Mid and East Antrim,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,454.9228839460806,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000008,Mid and East Antrim,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,387.95573777719,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000009,Mid Ulster,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,685.6876714219178,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000009,Mid Ulster,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,636.5700915284565,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000009,Mid Ulster,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,649.3506493506494,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000009,Mid Ulster,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,456.6369213608477,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000010,"Newry, Mourne and Down",Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,366.70047593040493,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000010,"Newry, Mourne and Down",Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,388.9289603575318,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000010,"Newry, Mourne and Down",Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,582.3317180895581,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000010,"Newry, Mourne and Down",Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,476.77648465243834,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000011,Ards and North Down,Local Authority District,Apprenticeship starts (Northern Ireland),2019-08-01/P1Y,256.1263154722894,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000011,Ards and North Down,Local Authority District,Apprenticeship starts (Northern Ireland),2020-08-01/P1Y,296.20186719658057,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000011,Ards and North Down,Local Authority District,Apprenticeship starts (Northern Ireland),2021-08-01/P1Y,384.5322641945316,"Rate per 100,000 population","Rate per 100,000 population",,,,
N09000011,Ards and North Down,Local Authority District,Apprenticeship starts (Northern Ireland),2022-08-01/P1Y,305.4444923378766,"Rate per 100,000 population","Rate per 100,000 population",,,,
